FIND NO,REFERENCE DESIGNATION,Center-X(Mil),Center-Y(Mil),Rotation,PART NUMBER

"1","C1","232.047","423.366","90","C0402C472K5RACTU"
"2","C2","2055.291","520","90","C0805C334K5RACTU"
"3","C3","1630","392.598","270","CC0805KKX5R9BB106"
"3","C4","1630","531.795","90","CC0805KKX5R9BB106"
"4","C5","1923.291","280.098","270","C2012X5R1C226M125AC"
"4","C6","2004.291","280.098","270","C2012X5R1C226M125AC"
"5","C7","2106.87","267.447","0","CL05B104KA5NNNC"
"5","C8","2018.291","141.201","90","CL05B104KA5NNNC"
"5","C9","1977.291","140.996","90","CL05B104KA5NNNC"
"5","C10","1937.291","141.098","90","CL05B104KA5NNNC"
"5","C11","1898.291","141.201","90","CL05B104KA5NNNC"
"5","C12","1275","535","180","CL05B104KA5NNNC"
"5","C13","1275","495","180","CL05B104KA5NNNC"
"6","C14","1275","455","180","CL05A475KQ5NRNC"
"7","C15","1165","430","0","LD025A470JAB2A"
"7","C16","1088.898","430","180","LD025A470JAB2A"
"5","C17","910","683.898","90","CL05B104KA5NNNC"
"8","D1","505","440","180","SMF26A"
"9","D2","0","0","0","P4FL3.3A_R1_00001"
"11","D3","1786.551","575","180","SS3060HE_R1_00001"
"12","D4","1470","507.913","270","APT2012SECK/J3-PRV"
"12","D5","1380","507.913","270","APT2012SECK/J3-PRV"
"13","J1","1518.72","585.315","90","SM04B-SRSS-TB"
"13","J2","510","585","270","SM04B-SRSS-TB"
"14","L1","310.547","397.264","0","MDF2016BSS270CTD25"
"15","L2","1946.291","439.118","270","5-2176797-4"
"16","P5","972.835","231.905","0","829-22-009-20-001101"
"17","R1","321.969","327.264","0","ERJ-2RKF1000X"
"18","R2","1835.291","325.079","270","ERJ2RKF5232X"
"19","R3","1746.858","350.98","0","ERJ-2RKF1133X"
"20","R4","2135.291","415","0","RK73H1ETTPD1002F"
"20","R5","1790.291","285.079","90","RK73H1ETTPD1002F"
"21","R6","1090","390","180","RC0402JR-070RL"
"21","R7","1164.921","390","0","RC0402JR-070RL"
"20","R8","0","0","0","RK73H1ETTPD1002F"
"22","R13","1459.921","629.842","180","RK73H1ETTP4990F"
"22","R14","1364.921","629.842","180","RK73H1ETTP4990F"
"20","R15","945","469.921","90","RK73H1ETTPD1002F"
"23","U1","295","206.437","270","DS2431Q+T&R"
"24","U2","1778.78","452.799","0","MCP16361T-E/NMX"
"25","U3","2107.346","335.098","180","NCP380HMUAJAATBG"
"26","U4","2112.976","194.447","270","TPS389030DSER"
"27","U6","1100","595","0","FT232RNQ-TRAY"
